AI	*aip1	*aip2	*aip3	*aip4	*aip5	*aip6	*aip7	*aip8	*eol
None									0
Idle									0
Skeleton	Approach Enemy (% Chance)	AI Delay (Frames)	Attack Enemy (% Chance)	"Attack1 (% Chance), else Attack2"					0
Zombie	Approach Enemy (% Chance)	Enemy Awareness (Range)		"Attack1 (% Chance), else Attack2"					0
Bighead	Hurt State (Life % threshold)	Circle Walk (% Chance)	Ranged Attack Not Hurt (% Chance)	Ranged Attack Hurt (% Chance)					0
BloodHawk	Charge (% Chance)	Wander behavior (% Chance)	Attack1 (% Chance)	Attack1 Move Velocity	Charge Velocity				0
Fallen	Command Attack (% Chance)	Non-command Wander behavior (% Chance)	Attack Enemy (% Chance)	"Attack1 (% Chance), else Attack2"					0
Brute			Attack Enemy / Circle Walk (% Chance) 	"Attack1 (% Chance), else Attack2"					0
SandRaider	Regroup Life % threshold	Circle Walk (% Chance)	Attack Enemy (% Chance)	Approach Enemy (% Chance)	Charge time (Frames)	"Charge overlay (1 = blue, else red)"	"Attack1 (% Chance), else Attack2"		0
Wraith	Approach Enemy (% Chance)	AI Delay (Frames)	Attack Enemy (% Chance)						0
CorruptRogue	Approach Enemy (% Chance)	AI Delay (Frames)	Attack Enemy (% Chance)	Run Velocity	Run During Approach (% Chance)				0
Baboon	Hurt State (Life % threshold)	Circle Walk (% Chance)	Attack Enemy (% Chance)	"Attack1 (% Chance), else Attack2"	hpregen bonus when hurt				0
Goatman	Approach Enemy (% Chance)	AI Delay (Frames)	Attack Enemy (% Chance)						0
FallenShaman	Issue Attack Command / Resurrect (Skill1) (% Chance)	Fireball (Skill2) (% Chance)	Attack Enemy / Circle Walk (% Chance) 	Ally Corpse Search Range	Fireball (Skill2) Search Range				0
QuillRat	Activate Range	Attack2 (% Chance)		Walk Away Range					0
SandMaggot	Lay an egg (% Chance)	Attack2 (% Chance)	Max Egg Unit Spawn Count	Attack1 (% Chance)	Min Down/Up State Time (Frames)				0
ClawViper	Charge (% Chance)	Charge Max Range	Attack Enemy (% Chance)	"Attack1 (% Chance), else Attack2"	AI Delay (Frames)	"Charge overlay (0 = none, 1 = red, else blue)"			0
SandLeaper	Leap (Skill1) (% Chance)	Attack2 (% Chance)	Approach Enemy (% Chance)	Circle Walk (% Chance)					0
PantherWoman	Approach Enemy (% Chance)	Attack1 (% Chance)	Find Nearest Ally Range	AI Delay (Frames)	Regroup to allies (% Chance)				0
Swarm	Approach Enemy (% Chance)	AI Delay (Frames)	Attack1 (% Chance)						0
Scarab	Attack Enemy (% Chance)	"Attack1 (% Chance), else Attack2"	AI Delay (Frames)	Jab (Skill1) (% Chance)	Command Attack (% Chance)				0
Mummy	Enemy Awareness (Range)	Approach Enemy (% Chance)	Attack Enemy (% Chance)	"Attack1 (% Chance), else Attack2"	AI Delay (Frames)				0
GreaterMummy	"Attack1 (% Chance), else Attack2"	Raise Ally (Skill1) (% Chance)	Heal (Skill2) (% Chance)	Shoot (Skill3) (% Chance)	Ally Corpse Search Range				0
Vulture	Attack1 (% Chance)	AI Delay (Frames)	Hurt State (Life % threshold)	Circle Walk (% Chance)	Approach Enemy (% Chance)				0
Mosquito			Approach Enemy (% Chance)	"Mosquito (Skill1) (% Chance), else Attack1"	Max random walk time (Frames)				0
WillOWisp	Cast (% Chance)	Attack1 (% Chance)	Approach Enemy (% Chance)						0
Arach	Attack1 (% Chance - 25)	Circle Walk (% Chance)	Approach Enemy (% Chance)	Run Away Range	Hurt State (Life % threshold)				0
ThornHulk	Attack1 (% Chance)	"Attack1 (% Chance), else Attack2"	Circle Walk (% Chance)	Frenzy (Skill1) (% Chance)	AI Delay After Frenzy Attack2 (Frames)	Frenzy Attack2 Duration (Frames)			0
Vampire	Attack1 (% Chance)	Use Skill (% Chance)	Active Range	Skill1/Skill2/Skill3/Skill4 (% Chance)	"Spell bit flags (1=Fireball/Skill1, 2=Firewall/Skill2, 4=Meteor/Skill3)"				0
