Id	*hcIdx	Height	OverlayHeight	pixHeight	SizeX	SizeY	spawnCol	MeleeRng	BaseW	HitClass	HDv	TRv	LGv	Rav	Lav	RHv	LHv	SHv	S1v	S2v	S3v	S4v	S5v	S6v	S7v	S8v	HD	TR	LG	RA	LA	RH	LH	SH	S1	S2	S3	S4	S5	S6	S7	S8	TotalPieces	mDT	mNU	mWL	mGH	mA1	mA2	mBL	mSC	mS1	mS2	mS3	mS4	mDD	mKB	mSQ	mRN	dDT	dNU	dWL	dGH	dA1	dA2	dBL	dSC	dS1	dS2	dS3	dS4	dDD	dKB	dSQ	dRN	A1mv	A2mv	SCmv	S1mv	S2mv	S3mv	S4mv	noGfxHitTest	htTop	htLeft	htWidth	htHeight	restore	automapCel	noMap	noOvly	isSel	alSel	noSel	shiftSel	corpseSel	isAtt	revive	limitCorpses	critter	small	large	soft	inert	objCol	deadCol	unflatDead	Shadow	noUniqueShift	compositeDeath	localBlood	Bleed	Light	light-r	light-g	light-b	Utrans	Utrans(N)	Utrans(H)	InfernoLen	InfernoAnim	InfernoRollback	ResurrectMode	ResurrectSkill	SpawnUniqueMod	*eol
skeleton1	0	3	2	80	2	2		0	1hs	3	"lit,lit,lit,med,hvy,hvy,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,fla,hax,hax,hax,mac,mac,mac,scm,scm"		"nil,buc,lrg,kit,sml"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"							1	1	1	1	1	1		1	1	1							9	1	1	1	1	1	1	1		1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1										1		1				255	255	255				1			xx	SkeletonRaise		0
skeleton2	1	3	2	80	2	2		0	1hs	3	"lit,lit,lit,med,hvy,hvy,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,fla,hax,hax,hax,mac,mac,mac,scm,scm"		"nil,buc,lrg,kit,sml"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"							1	1	1	1	1	1		1	1	1							9	1	1	1	1	1	1	1		1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1										1		1				255	255	255				1			xx	SkeletonRaise		0
skeleton3	2	3	2	80	2	2		0	1hs	3	"lit,lit,lit,med,hvy,hvy,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,fla,hax,hax,hax,mac,mac,mac,scm,scm"		"nil,buc,lrg,kit,sml"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"							1	1	1	1	1	1		1	1	1							9	1	1	1	1	1	1	1		1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1										1		1				255	255	255				1			xx	SkeletonRaise		0
skeleton4	3	3	2	80	2	2		0	1hs	3	"lit,lit,lit,med,hvy,hvy,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,fla,hax,hax,hax,mac,mac,mac,scm,scm"		"nil,buc,lrg,kit,sml"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"							1	1	1	1	1	1		1	1	1							9	1	1	1	1	1	1	1		1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1										1		1				255	255	255				1			xx	SkeletonRaise		0
skeleton5	4	3	2	80	2	2		0	1hs	3	"lit,lit,lit,med,hvy,hvy,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"axe,fla,hax,hax,hax,mac,mac,mac,scm,scm"		"nil,buc,lrg,kit,sml"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"	"nil,nil,nil,nil,nil,nil,nil,nil,nil,lit,med,hvy"							1	1	1	1	1	1		1	1								9	1	1	1	1	1	1	1		1				1	1	1		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1										1		1				255	255	255				1			xx	SkeletonRaise		0
zombie1	5	3	2	72	2	2		0	hth	12	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"				"lit,med,hvy"	"lit,med,hvy"	"bld,lhr,shr"						1	1	1	1	1				1	1	1						8	1	1	1	1	1	1			1				1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1		1	2	1		255	255	255				1			NU			0
zombie2	6	3	2	72	2	2		0	hth	12	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"				"lit,med,hvy"	"lit,med,hvy"	"bld,lhr,shr"						1	1	1	1	1				1	1	1						8	1	1	1	1	1	1			1				1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1		1	2	1		255	255	255				1			NU			0
zombie3	7	3	2	72	2	2		0	hth	12	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"				"lit,med,hvy"	"lit,med,hvy"	"bld,lhr,shr"						1	1	1	1	1				1	1	1						8	1	1	1	1	1	1			1				1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1		1	2	1		255	255	255				1			NU			0
zombie4	8	3	2	72	2	2		0	hth	12	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"				"lit,med,hvy"	"lit,med,hvy"	"bld,lhr,shr"						1	1	1	1	1				1	1	1						8	1	1	1	1	1	1			1				1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1		1	2	1		255	255	255				1			NU			0
zombie5	9	3	2	72	2	2		0	hth	12	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"	"lit,med,hvy"				"lit,med,hvy"	"lit,med,hvy"	"bld,lhr,shr"						1	1	1	1	1				1	1	1						8	1	1	1	1	1	1			1				1	1	1	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8													1				1				1	1	1					1					1		1	2	1		255	255	255				1			NU			0
