index	*ID	set	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Civerb's Ward	0	Civerb's Vestments		1					lrg	Large Shield	7	13	1	lyel	lyel						5	2500	1	ac		55	55	block		20	20	balance1		25	25	res-cold		30	30																					hp		50	50					res-pois		40	40																														0
Civerb's Icon	1	Civerb's Vestments		1					amu	Amulet	20	13	1	lyel	lyel						5	2500	2	regen-mana		40	40	regen		7	12	mana/lvl		12	14																									mana		25	25																																						0
Civerb's Cudgel	2	Civerb's Vestments		1					gsc	Grand Scepter	7	13	1	lyel	lyel						5	2500		att/lvl		16	16	dmg-max		23	23	dmg-ltng		1	20																									dmg/lvl	8																																								0
Hsarus' Iron Heel	3	Hsarus' Defense		1					mbt	Chain Boots	7	4	1	dred	dred						5	2500	2	res-fire		25	25	move2		25	25																													att/lvl	20			dmg		6	6																																		0
Hsarus' Iron Fist	4	Hsarus' Defense		1					buc	Buckler	7	4	1	dred	dred						5	2500	2	red-dmg		10	10	res-pois-len		75	75	hp		25	25	red-mag		10	10																					dex		5	5	vit		5	5																																		0
Hsarus' Iron Stay	5	Hsarus' Defense		1					mbl	Belt	7	4	1	dred	dred						5	2500	2	res-cold		25	25	hp		25	25																													str		5	5	enr		5	5																																		0
Cleglaw's Tooth	6	Cleglaw's Brace		1					lsd	Long Sword	7	6	1	lred	lred						5	2500	2	att%		30	30	deadly		75	75	dmg-norm		10	10																									dmg/lvl	11	11																																							0
Cleglaw's Claw	7	Cleglaw's Brace		1					sml	Small Shield	7	6	1	lred	lred						5	2500	2	ac		55	55	res-pois-len		75	75	res-cold		10	10	red-dmg		5	5																					res-all		20	20																																						0
Cleglaw's Pincers	8	Cleglaw's Brace		1					mgl	Chain Gloves	7	6	1	lred	lred						5	2500	2	res-fire		10	10	slow		25	25	swing1		20	20																									att/lvl	20																																								0
Iratha's Collar	9	Iratha's Finery		1					amu	Amulet	20	21	1	lgry	lgry						5	2500	2	res-pois		30	30	res-pois-len		75	75	mana		20	20																									res-all		15	15																																						0
Iratha's Cuff	10	Iratha's Finery		1					tgl	Light Gauntlets	7	21	1	lgry	lgry						5	2500	2	res-cold		30	30	dmg-ltng		1	20	hp		15	15																									swing2		20	20																																						0
Iratha's Coil	11	Iratha's Finery		1					crn	Crown	7	21	1	lgry	lgry						5	2500	2	res-fire		30	30	res-ltng		30	30																													ac/lvl	16																																								0
Iratha's Cord	12	Iratha's Finery		1					tbl	Heavy Belt	7	21	1	lgry	lgry						5	2500	2	hp		20	20	dmg-min		8	8	dex		15	15																									dex		20	20																																						0
Isenhart's Lightbrand	13	Isenhart's Armory		1					bsd	Broad Sword	7	11	1	lgld	lgld						5	2500	2	dmg-min		10	10	swing2		20	20	dmg-fire		13	15	dmg-undead		100	100																					dmg-fire/lvl	10																																								0
Isenhart's Parry	14	Isenhart's Armory		1					gts	Gothic Shield	7	11	1	lgld	lgld						5	2500	2	allskills		1	1	light-thorns		13	16	res-ltng		20	20	block		30	30																					res-all		10	10																																						0
Isenhart's Case	15	Isenhart's Armory		1					brs	Breast Plate	7	11	1	lgld	lgld						5	2500	2	ac		100	100	red-mag		5	5	hp		35	35																									ac/lvl	16																																								0
Isenhart's Horns	16	Isenhart's Armory		1					fhl	Full Helm	7	11	1	lgld	lgld						5	2500	2	str		10	10	red-dmg		5	5	hp		30	30																									res-all		10	10																																						0
