index	name	version	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
Civerb's Vestments	Civerb's Vestments	0	ac		1	1																																																													0
Hsarus' Defense	Hsarus' Defense	0	ac		1	1																																																													0
Cleglaw's Brace	Cleglaw's Brace	0	ac		1	1																																																													0
Iratha's Finery	Iratha's Finery	0	ac		1	1																																																													0
Isenhart's Armory	Isenhart's Armory	0	ac		1	1																																																													0
Vidala's Rig	Vidala's Rig	0	ac		1	1																																																													0
Milabrega's Regalia	Milabrega's Regalia	0	ac		1	1																																																													0
Cathan's Traps	Cathan's Traps	0	ac		1	1																																																													0
Tancred's Battlegear	Tancred's Battlegear	0	ac		1	1																																																													0
Sigon's Complete Steel	Sigon's Complete Steel	0	ac		1	1																																																													0
Infernal Tools	Infernal Tools	0	ac		1	1																																																													0
Berserker's Garb	Berserker's Garb	0	ac		1	1																																																													0
Death's Disguise	Death's Disguise	0	ac		1	1																																																													0
Angelical Raiment	Angelical Raiment	0	ac		1	1																																																													0
Arctic Gear	Arctic Gear	0	ac		1	1																																																													0
Arcanna's Tricks	Arcanna's Tricks	0	ac		1	1																																																													0
Expansion			ac		1	1																																																													0
Natalya's Odium	Natalya's Odium	100	ac		1	1																																																													0
Aldur's Watchtower	Aldur's Watchtower	100	ac		1	1																																																													0
Immortal King	Immortal King	100	ac		1	1																																																													0
Tal Rasha's Wrappings	Tal Rasha's Wrappings	100	ac		1	1																																																													0
Griswold's Legacy	Griswold's Legacy	100	ac		1	1																																																													0
Trang-Oul's Avatar	Trang-Oul's Avatar	100	ac		1	1																																																													0
M'avina's Battle Hymn	M'avina's Battle Hymn	100	ac		1	1																																																													0
The Disciple	The Disciple	100	ac		1	1																																																													0
Heaven's Brethren	Heaven's Brethren	100	ac		1	1																																																													0
Orphan's Call	Orphan's Call	100	ac		1	1																																																													0
Hwanin's Majesty	Hwanin's Majesty	100	ac		1	1																																																													0
Sazabi's Grand Tribute	Sazabi's Grand Tribute	100	ac		1	1																																																													0
Bul-Kathos' Children	Bul-Kathos' Children	100	ac		1	1																																																													0
Cow King's Leathers	Cow King's Leathers	100	ac		1	1																																																													0
Naj's Ancient Set	Naj's Ancient Set	100	ac		1	1																																																													0
McAuley's Folly	McAuley's Folly	100	ac		1	1																																																													0
Nadin's Winning Strategy	Nadin's Winning Strategy	100	ac		1	1																																																													0
Sanctuary's Blessing Caster	Sanctuary's Blessing Caster	100	ac		1	1																																																													0
Sanctuary's Blessing Melee	Sanctuary's Blessing Melee	100	ac		1	1																																																													0
The Ascension	The Ascension	100	ac		1	1																																																													0
Fake Ascension	Fake Ascension	100	ac		1	1																																																													0
Sigurds Nobility	Sigurds Nobility	100	ac		1	1																																																													0
Humanity's End	Humanity's End	100	ac		1	1																																																													0
Royal Guard	Royal Guard	100	ac		1	1																																																													0
Natalya's Vengeance	Natalya's Vengeance	100	ac		1	1																																																													0
Aldur's Beacon	Aldur's Beacon	100	ac		1	1																																																													0
Bul Katho's Embodiment	Bul Katho's Embodiment	100	ac		1	1																																																													0
Tal Rasha's Elements	Tal Rasha's Elements	100	ac		1	1																																																													0
Griswold's Masterwork	Griswold's Masterwork	100	ac		1	1																																																													0
Trang-Oul's Incarnation	Trang-Oul's Incarnation	100	ac		1	1																																																													0
God of War M'avina	God of War M'avina	100	ac		1	1																																																													0
M'avina's Disappointment	M'avina's Disappointment	100	ac		1	1																																																													0
